ID_DEPARTAMENTO,DEPARTAMENTO,ID_MUNICIPIO,MUNICIPIO,Latitud,Longitud,LOCALIDAD,Solar_radiation_promedio,Wind_promedio,consumo_energia_promedio,tipo_cultivo,Desecho_Ton_promedio,Solar_norm,Wind_norm,Desecho_norm,Indice_Solar,Indice_Eolico,Indice_Biomasa,Energia_Prioritaria
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1.569,-74.264,GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ),15415.25,0.8833333253860473,8908.92,PALMA DE ACEITE,799.8934338018298,0.7840265602809086,0.20152091658040078,0.8227895699407435,6984.829903417792,1795.333724141464,7330.166455436489,Biomasa
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1.569,-74.264,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),15415.25,0.8833333253860473,6483.38,PALMA DE ACEITE,799.8934338018298,0.7840265602809086,0.20152091658040078,0.8227895699407435,5083.142120394037,1306.5366801390387,5334.457441962418,Biomasa
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1.569,-74.264,VILLA LOBOS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),15415.25,0.8833333253860471,18465.4,PALMA DE ACEITE,799.8934338018298,0.7840265602809086,0.20152091658040075,0.8227895699407435,14477.36404621109,3721.164333023732,15193.138524783806,Biomasa
19,CAUCA,19318,GUAPI,2.416,-77.694,LIMONES (GUAPI - CAUCA),15018.75,1.083333373069763,11823.94,PALMA DE ACEITE,369.42253479590784,0.7638603916393764,0.2471483052082802,0.37999687919234554,9031.839439120487,2922.266731884393,4493.060299757542,Solar
19,CAUCA,19318,GUAPI,2.416,-77.694,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),15018.75,1.083333373069763,15574.33,PALMA DE ACEITE,369.42253479590784,0.7638603916393764,0.2471483052082802,0.37999687919234554,11896.613813320888,3849.169264254475,5918.1967955117225,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,BETANIA - NAYA (LÓPEZ (MICAY) - CAUCA),15667.7412109375,0.933333337306976,8551.83,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,6814.682892720409,1820.9220377621577,3249.6687113834764,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,BOCA GRANDE (LÓPEZ (MICAY) - CAUCA),15667.7412109375,0.9333333373069762,4822.6,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,3842.977435055824,1026.8654333998436,1832.5729495930057,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,BOCA GRANDE (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.933333337306976,4664.67,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,3717.128012271772,993.2377516728004,1772.5600424621584,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.9333333373069762,5475.9,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,4363.571545768295,1165.9711414494677,2080.8249107693646,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,ISLA DE GALLO (LOPEZ (MICAY) - CAUCA),15667.7412109375,0.9333333373069762,4620.5,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,3681.93033605844,983.832732348521,1755.7755803082325,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.933333337306976,4704.57,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,3748.9230605151943,1001.7335694459214,1787.721917941933,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,LA CONCHA - CONCEPCIÓN NAYA (LOPEZ (MICAY) - CAUCA),15667.7412109375,0.933333337306976,2796.5,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,2228.4424163591448,595.4524912915568,1062.6612726613944,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,NOANAMITO (LOPEZ (MICAY) - CAUCA),15667.7412109375,0.933333337306976,9242.67,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,7365.191442306517,1968.0210540624828,3512.1857554047165,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,NOANAMITO (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.9333333373069762,8886.65,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,7081.490362716965,1892.2145116167046,3376.8992664746575,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,RIO MAYA - DOS QUEBRADAS (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.9333333373069762,5001.8,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,3985.7762482192634,1065.0220886615805,1900.668390344274,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,SAN ANTONIO DE CHUARE (LOPEZ (MICAY) - CAUCA),15667.7412109375,0.9333333373069762,10320.25,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,8223.880868024482,2197.467753710599,3921.662792484804,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,SAN ANTONIO DE CHUARE (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.9333333373069762,8183.05,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,6520.813772639978,1742.3985370510907,3109.5334622749233,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,SAN ISIDRO (LÓPEZ (MICAY) - CAUCA),15667.7412109375,0.9333333373069762,1688.0,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737063,0.37999687919234554,1345.1138204234708,359.42206518868164,641.4347320766793,Solar
19,CAUCA,19418,LÓPEZ,3.004,-77.222,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),15667.7412109375,0.933333337306976,1288.0,PALMA DE ACEITE,369.42253479590784,0.7968683770281225,0.21292776373737057,0.37999687919234554,1026.3664696122219,274.2509596937333,489.435980399741,Solar
